codeFleet,depot_id,hours_service,model_code,line_code,manufacturer,overhaulLast,id_unit,year_commission,region_install,serial_number,ownerOperator,duty_class
FB,69,7364.90000,XC-7,L6,Pinto Gaspar S.A.,2024-12-12,462,2022,Caldas da Rainha,KB-2017-11476,Gutknecht Stiftung & Co. KG,N
FE,47,18009.20000,APU-20,L3,Heinrich,2019/07/23,463,2019,New Danielshire,EI-0871-62785,James PLC,N
FB,101,12955.00000,APU-20,L3,"Gibbs, Scott and Moore","11/02/2024, 00:00:00",464,2021,Biedenkopf,RA-9572-87656,Heinrich,heavy
FA,86,7207.00000,APU-15,L5,"Gibbs, Scott and Moore","03/07/2017, 00:00:00",465,2022,Cartaxo,AL-4672-93492,Hövel Jopich KG,light
FC,116,9520.20000,APU-15,L3,Silva,2016/02/16,466,2022,Johnnymouth,DN-4893-16785,"Carter, Kim and Allen",H
FE,26,6565.50000,APU-20,L2,Trevino-Turner,2022-08-07,467,2023,Chaves,KV-0346-85705,"Rivers, Welch and Hood",light
FB,18,9555.80000,APU-20,L3,"Henson, Walker and Pruitt",25 Mar 2017,468,2022,Póvoa de Santa Iria,PJ-6924-66999,"Becker, Sanchez and Crawford", 1 
FE,36,5840.10000,APU-12,L1,Zobel,20 Aug 2020,469,2023,Youngfort,HI-5330-85458,Pinho Lopes Lda.,normal
FA,4,4382.60000,XC-7,L6,Hermighausen Weinhold AG & Co. KG,2021-01-31,470,2023,Angermünde,HF-8645-73378,"Moore, Kennedy and Berger", light 
FB,64,16440.70000,APU-15,L6,Schenk GmbH,13 May 2015,471,2020,East Joshuabury,MM-3134-02448,Hövel Jopich KG, normal 
FA,46,9133.30000,APU-20,L1,Mangold GbR,"02/23/2022, 00:00:00",472,2022,Nordhausen,BH-8960-54879,Stroh,med
FD,21,6667.90000,APU-15,L2,"Henson, Walker and Pruitt","12/21/2017, 00:00:00",473,2023,Lourosa,YH-3017-56831,Macedo Faria e Filhos,1
FC,3,6181.20000,APU-15,L1,Pinto Gaspar S.A.,"04/21/2024, 00:00:00",474,2023,Port Alanside,OQ-3328-52636,Stroh,1
FE,44,8389.30000,APU-15,L5,Heinrich,2021/05/16,475,2022,Cartaxo,KG-5008-96987,Leal Freitas S/A,normal
FA,116,8510.10000,APU-20,L5,Gutknecht Stiftung & Co. KG,"01/31/2017, 00:00:00",476,2022,Zerbst,HM-0399-89933,Trevino-Turner,H
FC,76,5061.20000,APU-20,L4,Pinto Gaspar S.A.,2021-08-27,477,2023,Kusel,SD-1259-16090,Rogner KG,heavy
FD,38,5433.70000,APU-12,L6,Roy and Sons,2022-02-21,478,2023,Macedo de Cavaleiros,WU-5318-37072,Huhn KGaA,med
FD,92,9623.20000,APU-12,L5,Trevino-Turner,2019/12/10,479,2022,Angermünde,WD-6859-30719,Reinhardt,heavy
FB,23,14171.90000,XC-7,L5,Trevino-Turner,2024/06/29,480,2020,São Salvador de Lordelo,CY-4060-01794,Rogner KG,N
FE,11,10317.00000,APU-12,L3,Hermighausen Weinhold AG & Co. KG,2023/09/02,481,2022,Quarteira,HG-1872-32227,"Barker, Henson and Neal",1
FA,61,13583.50000,APU-20,L3,Stroh,"11/25/2016, 00:00:00",482,2021,Tondela,SG-1721-11631,Silva,2
FA,7,15744.90000,APU-20,L4,"Hernandez, Malone and Smith",2018-03-16,483,2020,Johnfort,KT-8809-74281,Rädel Löwer AG,L
FD,77,10077.40000,APU-20,L2,Roy and Sons,2019-02-11,484,2022,São Salvador de Lordelo,SU-8167-95201,Trapp Langern OHG mbH,light
FB,108,15260.10000,XC-7,L6,James PLC,2023/02/11,485,2020,Fiães,BN-0125-59862,"Hernandez, Malone and Smith",light
FC,66,6704.10000,XC-7,L6,Pinho Lopes Lda.,"03/20/2015, 00:00:00",486,2023,Kusel,XE-1545-19722,Kraushaar GbR,normal
FA,116,16748.40000,APU-15,L3,Kraushaar GbR,2016/06/01,487,2020,Moura,WP-6050-24066,Trapp Langern OHG mbH,N
FD,20,29716.50000,APU-20,L3,"Carter, Kim and Allen",11 Oct 2023,488,2016,Port Alanside,UF-8340-95130,Stroh,1
FE,0,12364.80000,XC-7,L6,Ribeiro,2021-04-22,489,2021,Caldas da Rainha,JS-4037-44087,Allen-Ferguson,L
FE,80,11520.30000,XC-7,L1,Pinho Lopes Lda.,03 Oct 2023,490,2021,Caldas da Rainha,IN-4713-84895,"Carter, Kim and Allen",3
FC,54,6562.00000,APU-15,L2,"Becker, Sanchez and Crawford",2022/08/23,491,2023,Moura,BG-9128-29478,Reinhardt,normal
FA,35,11399.90000,XC-7,L4,James PLC,21 Jan 2018,492,2021,Gomezberg,DC-1680-98473,Trapp Langern OHG mbH,L
FC,30,11085.60000,APU-15,L1,Reinhardt,2022-04-26,493,2021,Zerbst,VO-2162-15810,"Gibbs, Scott and Moore",1
FA,29,20390.20000,APU-20,L1,"Becker, Sanchez and Crawford",15 May 2024,494,2019,Horta,CY-3334-48093,Trevino-Turner,1
FD,106,5524.80000,APU-20,L5,Roy and Sons,28 Aug 2016,495,2023,Port Alanside,AO-9939-26164,Teixeira,H
FE,10,8504.10000,XC-7,L2,Mangold GbR,19 Oct 2019,496,2022,Gomezberg,OS-9189-55978,Faria,1
FD,16,15452.80000,XC-7,L4,Teixeira,2017/11/11,497,2020,West Nicolechester,PN-6044-77382,"Becker, Sanchez and Crawford",light
FC,5,8107.20000,XC-7,L1,Huhn KGaA,2022/05/28,498,2022,Cartaxo,BF-9014-27399,Kraushaar GbR,1
FA,110,22323.80000,APU-15,L3,Mitschke,2022-06-23,499,2018,Naila,AD-7041-21663,Rädel Löwer AG,heavy
FD,58,39422.30000,APU-15,L1,"Moore, Kennedy and Berger",24 Jun 2023,500,2013,Tondela,PR-1483-28101,Kraushaar GbR, normal 
FD,70,17466.10000,APU-12,L6,Teixeira,20 Jan 2024,501,2020,Horta,GZ-0734-07385,Mangold GbR,normal
FC,91,7375.00000,APU-12,L4,Pinto Gaspar S.A.,2021/06/03,502,2022,Biedenkopf,DA-6833-12427,Reinhardt,heavy
FE,57,,APU-15,L5,Pinto Gaspar S.A.,2018-06-21,503,2019,Moniqueside,YV-5185-37584,Christoph GmbH,N
FA,44,6374.20000,APU-15,L5,"Hernandez, Malone and Smith",2024/08/22,504,2023,Moura,GT-1525-50404,Schenk GmbH,L
FC,46,2429.20000,XC-7,L2,Amorim,2019-02-13,505,2024,West Andrewborough,OZ-3854-15915,Mangold GbR,med
FB,42,9215.50000,APU-12,L4,Amorim,09 Feb 2017,506,2022,West Nicolechester,VV-4500-49712,"Gibbs, Scott and Moore",N
FD,79,8305.20000,APU-15,L2,Hofmann Bender GmbH,13 May 2021,507,2022,Sacavém,PL-5078-10609,Pinho Lopes Lda.,light
FD,50,17795.90000,APU-20,L5,Stroh,2024/12/28,508,2019,Angermünde,NW-1147-23663,Schenk GmbH,N
FB,21,8769.10000,APU-15,L2,Faria,2017-09-24,509,2022,São Salvador de Lordelo,DX-9957-14557,Schenk GmbH,H
FB,61,7592.10000,APU-15,L2,Hermighausen Weinhold AG & Co. KG,02 May 2017,510,2022,Caldas da Rainha,HL-4489-26387,Huhn KGaA,N
FD,67,7728.10000,APU-20,L3,"Henson, Walker and Pruitt",2024/08/07,511,2022,Gifhorn,DX-4258-39300,Hermighausen Weinhold AG & Co. KG,2
FC,15,18479.00000,APU-20,L3,"Henson, Walker and Pruitt",05 Mar 2018,512,2019,São João da Madeira,BJ-5123-55020,"Barker, Henson and Neal",L
FE,36,14931.10000,APU-15,L4,Trapp Langern OHG mbH,12 Apr 2018,513,2020,Zerbst,YY-4794-83400,Silva,heavy
FB,106,,APU-15,L3,Faria,07 Feb 2022,514,2018,São João da Madeira,BE-7304-44449,Trevino-Turner,3
FB,72,7343.20000,APU-20,L2,Trapp Langern OHG mbH,2017/01/12,515,2022,Christinehaven,DO-1705-63486,Rädel Löwer AG,2
FD,40,7354.40000,APU-15,L2,Roy and Sons,2019/09/19,516,2022,Harrisbury,EJ-5605-43200,Christoph GmbH,2
FD,11,9420.80000,APU-20,L6,Stroh,"08/18/2018, 00:00:00",517,2022,Angermünde,WU-1637-18091,Schenk GmbH,light
FD,1,7610.60000,APU-15,L6,Trapp Langern OHG mbH,2016-07-29,518,2022,Youngfort,UB-9273-47325,Faria,light
FC,8,12239.10000,APU-20,L1,Reinhardt,2019/11/13,519,2021,New Danielshire,NM-4948-32563,Huhn KGaA,N
FA,64,13818.20000,APU-12,L2,Pinto Gaspar S.A.,2022/03/04,520,2021,Genthin,PV-1165-24579,Kraushaar GbR,2
FA,4,5524.30000,XC-7,L2,Faria,19 Jan 2020,521,2023,Ebersberg,NK-6578-04704,Silva,1
FD,106,7847.40000,APU-20,L4,"Moore, Kennedy and Berger",2016-10-11,522,2022,Guimarães,LC-0716-95795,Leal Freitas S/A, 1 
FC,71,18145.00000,APU-20,L6,Ribeiro,2018/02/02,523,2019,West Nicolechester,MF-7195-51300,Trapp Langern OHG mbH,2
FD,78,14998.50000,APU-12,L6,Roy and Sons,23 Feb 2016,524,2020,Barbarachester,GU-6485-94139,"Hernandez, Malone and Smith",N
FA,106,,APU-20,L1,Reinhardt,2015/03/14,525,2021,South Sabrina,GJ-8133-53082,Hövel Jopich KG,heavy
FB,100,17524.60000,APU-15,L6,Zobel,2015/05/08,526,2019,Vila Real,PA-6675-94085,"Barker, Henson and Neal",N
FB,26,14752.90000,XC-7,L1,Walker Ltd,2015/11/01,527,2020,West Nicolechester,LR-5468-56991,Hofmann Bender GmbH,light
FD,105,10057.90000,APU-20,L2,Mitschke,23 Jun 2019,528,2022,Nordhausen,HE-3251-82080,Rädel Löwer AG,L
FD,77,11654.00000,APU-20,L5,Stroh,2019-09-07,529,2021,Torres Vedras,WL-9982-94617,James PLC,normal
FC,79,13817.60000,APU-20,L5,"Moore, Kennedy and Berger",2020/11/28,530,2021,Genthin,AN-9356-56804,Schenk GmbH,normal
FD,13,11102.20000,XC-7,L5,Huhn KGaA,"09/03/2023, 00:00:00",531,2021,Angermünde,VP-7529-28549,"Carter, Kim and Allen",light
FD,66,14053.10000,APU-15,L3,Trapp Langern OHG mbH,03 May 2017,532,2020,Amarante,TT-8812-84536,"Moore, Kennedy and Berger", med 
FA,101,29352.70000,APU-20,L1,"Henson, Walker and Pruitt",15 Jan 2020,533,2016,Christinehaven,VA-3639-13603,Allen-Ferguson,light
FE,89,10235.40000,APU-12,L4,Mitschke,"08/27/2015, 00:00:00",534,2022,Klötze,PY-8079-44029,Teixeira,heavy
FB,54,7152.50000,APU-12,L2,Faria,16 Oct 2021,535,2022,South Sabrina,EQ-0885-95023,Pinho Lopes Lda.,N
FB,65,10152.70000,XC-7,L2,Allen-Ferguson,19 Nov 2023,536,2022,Vila Real,VJ-2071-18002,Hofmann Bender GmbH,med
FC,52,12559.80000,APU-12,L2,Hofmann Bender GmbH,"04/15/2018, 00:00:00",537,2021,Angelashire,HN-9524-31040,Reinhardt,normal
FE,37,4155.20000,APU-20,L1,Rädel Löwer AG,2018/01/06,538,2023,Nordhausen,NL-9885-94650,Hofmann Bender GmbH,light
FE,1,,APU-15,L6,"Carter, Kim and Allen",29 Nov 2018,539,2022,Bruchsal,NW-4712-44770,"Becker, Sanchez and Crawford",H
FC,40,8063.20000,XC-7,L5,Trevino-Turner,2020/07/26,540,2022,Lake Amy,RR-7043-03842,Rogner KG,2
FC,18,6807.10000,APU-20,L5,Faria,2020-12-10,541,2023,Gomezberg,PW-9177-55590,Faria,1
FA,86,6129.70000,APU-12,L2,Mitschke,"07/14/2017, 00:00:00",542,2023,Zerbst,YD-6319-08432,"Gibbs, Scott and Moore",3
FC,90,3138.90000,XC-7,L5,Pinho Lopes Lda.,"01/04/2018, 00:00:00",543,2024,West Andrewborough,IS-8509-92755,Pinto Gaspar S.A.,H
FC,111,,APU-12,L3,Silva,2016/06/13,544,2020,Moniqueside,FZ-9872-69241,Mitschke,L
FD,76,8041.70000,XC-7,L2,Christoph GmbH,22 Jun 2024,545,2022,Naila,PX-8545-33393,Schenk GmbH,N
FE,91,6563.50000,XC-7,L1,Trapp Langern OHG mbH,2016-04-29,546,2023,Moniqueside,HX-5705-74934,Mangold GbR,heavy
FD,52,14249.20000,APU-20,L2,"Hernandez, Malone and Smith",10 Nov 2021,547,2020,South Renee,IJ-8392-23166,Kraushaar GbR, normal 
FE,42,6195.80000,APU-20,L5,"Becker, Sanchez and Crawford","05/29/2018, 00:00:00",548,2023,Kusel,AC-9404-51697,Johnson-Garrett,N
FA,55,28929.10000,XC-7,L3,Ribeiro,2022-04-01,549,2016,Johnfort,OD-2062-01679,Hövel Jopich KG,N
FB,87,6432.00000,XC-7,L2,Mitschke,2018-03-28,550,2023,Chaves,SX-1937-78084,Schenk GmbH,3
FE,66,5503.60000,APU-15,L6,Pinho Lopes Lda.,2021-05-18,551,2023,Christinehaven,LO-9425-71296,Silva, N 
FC,23,9615.80000,APU-20,L1,"Gibbs, Scott and Moore",10 Jan 2016,552,2022,São Salvador de Lordelo,AJ-4522-55940,Allen-Ferguson,L
FB,25,15652.50000,APU-12,L2,James PLC,2015/03/26,553,2020,Nordhausen,XR-7078-52139,"Barker, Henson and Neal",L
FB,22,4398.90000,APU-12,L6,Roy and Sons,2019/07/14,554,2023,Kusel,CF-8629-31526,Faria,L
FD,110,11294.30000,APU-20,L5,Rogner KG,2018-11-04,555,2021,Moniqueside,EF-3334-83861,Teixeira,H
FA,91,18075.80000,XC-7,L5,Christoph GmbH,20 Oct 2020,556,2019,Quarteira,LT-8367-57504,"Rivers, Welch and Hood",heavy
FC,69,22022.50000,APU-15,L6,Faria,"07/16/2016, 00:00:00",557,2018,Gomezberg,LJ-9523-36388,Zobel,normal
FA,105,12222.00000,APU-15,L3,Hövel Jopich KG,2019/12/14,558,2021,Biedenkopf,OY-3384-61334,Teixeira,N
FE,105,10668.10000,APU-20,L4,Faria,"06/20/2018, 00:00:00",559,2021,Póvoa de Santa Iria,BZ-6570-82157,"Hernandez, Malone and Smith", 3 
FA,53,21723.20000,APU-15,L2,Pinto Gaspar S.A.,"03/01/2023, 00:00:00",560,2018,Gomezberg,NM-5815-64969,"Rivers, Welch and Hood",N
FA,109,14535.70000,APU-12,L3,Hofmann Bender GmbH,2017/08/04,561,2020,Zerbst,QU-3437-60571,Hövel Jopich KG,1
FC,46,18861.80000,APU-15,L1,Hofmann Bender GmbH,14 Feb 2019,562,2019,Gifhorn,WX-0900-88974,Kraushaar GbR,light
FC,24,11609.10000,APU-15,L6,Mangold GbR,2020-08-26,563,2021,New Danielshire,KL-6811-17940,Hofmann Bender GmbH, L 
FB,10,15656.00000,APU-12,L2,Macedo Faria e Filhos,13 Jan 2021,564,2020,Nürtingen,UN-5842-49682,Stroh,1
FC,19,32171.00000,APU-20,L5,"Barker, Henson and Neal",2019/09/18,565,2015,Johnnymouth,ND-3035-27290,Ribeiro,L
FC,104,23350.40000,APU-12,L5,Walker Ltd,"05/22/2023, 00:00:00",566,2018,Hensleyville,CJ-9873-58352,Rädel Löwer AG,H
FB,117,24741.00000,XC-7,L6,Walker Ltd,2019/04/18,567,2017,São João da Madeira,AY-8415-81146,Pinto Gaspar S.A.,normal
FD,43,12252.10000,XC-7,L4,Kraushaar GbR,"03/20/2021, 00:00:00",568,2021,West Andrewborough,WH-2183-31651,Allen-Ferguson,normal
FC,114,38070.50000,APU-15,L4,Johnson-Garrett,2022-01-31,569,2014,Biedenkopf,BC-2221-97113,Rädel Löwer AG,1
FD,24,13098.80000,APU-12,L6,Mitschke,22 Feb 2016,570,2021,South Sabrina,FP-8979-23997,Ribeiro,1
FA,47,,APU-12,L4,"Barker, Henson and Neal",2021-09-25,571,2023,Bad Freienwalde,PG-7441-79327,Rogner KG,med
FE,68,8001.20000,XC-7,L5,"Barker, Henson and Neal",2017/07/21,572,2022,Ochsenfurt,DD-2364-25613,Mangold GbR,N
FC,41,26632.60000,XC-7,L2,Pinto Gaspar S.A.,"10/10/2015, 00:00:00",573,2017,Youngfort,RX-4607-34148,Rogner KG,N
FE,16,14474.80000,XC-7,L1,Rogner KG,"10/13/2023, 00:00:00",574,2020,Kusel,RN-3051-74691,Kraushaar GbR,1
FA,61,24765.10000,APU-12,L4,"Rivers, Welch and Hood",2017/11/24,575,2017,Naila,WU-8047-19154,Hermighausen Weinhold AG & Co. KG,N
FD,105,16277.70000,XC-7,L1,Mangold GbR,2020-05-22,576,2020,Kusel,HP-3547-41126,Reinhardt,3
FB,119,5998.30000,XC-7,L4,Rädel Löwer AG,2024/07/13,577,2023,Lake Amy,NL-5335-08873,"Henson, Walker and Pruitt",heavy
FB,38,8279.10000,XC-7,L3,Hermighausen Weinhold AG & Co. KG,31 Aug 2018,578,2022,Angelashire,UM-3728-60918,Zobel,L
FD,70,15515.80000,XC-7,L5,Teixeira,2022/04/13,579,2020,Youngfort,PI-2536-14205,Christoph GmbH,2
FC,58,9472.60000,APU-15,L4,Trevino-Turner,"07/24/2020, 00:00:00",580,2022,South Renee,UW-5867-72798,Faria,normal
FE,105,14768.60000,APU-15,L6,Faria,2023-10-31,581,2020,Loulé,UC-9468-36512,Ribeiro,H
FB,65,4301.20000,APU-12,L5,Kraushaar GbR,09 Aug 2022,582,2023,Biedenkopf,XS-9362-02203,Trevino-Turner,3
FE,105,13023.70000,APU-15,L1,Rädel Löwer AG,2023-12-27,583,2021,Sacavém,XA-3627-86653,Silva,heavy
FB,90,7654.10000,APU-20,L1,Gutknecht Stiftung & Co. KG,"09/05/2017, 00:00:00",584,2022,Christinehaven,NY-8032-96527,Hövel Jopich KG,med
FC,19,34052.60000,APU-20,L2,Reinhardt,09 May 2018,585,2015,Gifhorn,KE-6663-56722,"Moore, Kennedy and Berger",light
FB,73,7878.40000,XC-7,L3,Leal Freitas S/A,2020/12/12,586,2022,Caldas da Rainha,HX-2297-46229,Hövel Jopich KG,N
FB,33,31008.00000,APU-20,L6,Teixeira,2017-02-18,587,2016,East Joshuabury,ND-4988-16879,Silva,2
FD,80,16782.30000,APU-15,L2,Allen-Ferguson,2019-08-05,588,2020,Cartaxo,JS-0615-55340,Zobel,L
FE,58,13696.30000,APU-20,L5,Zobel,"02/19/2024, 00:00:00",589,2021,Ochsenfurt,YY-0770-22495,Mangold GbR, N 
FC,119,10700.50000,XC-7,L2,"Carter, Kim and Allen",2019-03-07,590,2021,Quarteira,EG-7480-54052,"Moore, Kennedy and Berger", heavy 
FE,45,7783.70000,APU-15,L6,Heinrich,2018/08/17,591,2022,Ebersberg,SX-9067-49209,Faria,med
FD,92,6927.90000,APU-20,L5,Hermighausen Weinhold AG & Co. KG,06 Jul 2022,592,2023,Caldas da Rainha,AW-6333-51876,Stroh,H
FE,75,32164.80000,APU-20,L1,"Becker, Sanchez and Crawford",2015-12-08,593,2015,Caldas da Rainha,FC-7353-22575,Hermighausen Weinhold AG & Co. KG,normal
FC,68,6607.20000,APU-12,L5,Ribeiro,"08/10/2020, 00:00:00",594,2023,Naila,QZ-4185-57256,Zobel, med 
FB,53,45000.00000,XC-7,L6,"Barker, Henson and Neal",2023-04-07,595,2012,Barbarachester,IG-7496-58427,Mangold GbR,med
FC,72,4279.80000,APU-15,L3,Rädel Löwer AG,28 Feb 2023,596,2023,São João da Madeira,KU-4240-12657,Ribeiro,N
FB,13,15542.20000,APU-12,L6,Hermighausen Weinhold AG & Co. KG,2020/08/27,597,2020,São João da Madeira,YH-4887-91076,Leal Freitas S/A,1
FD,2,14007.30000,XC-7,L6,James PLC,2021/10/29,598,2020,Nordhausen,FJ-8947-91646,Schenk GmbH,L
FE,70,5918.90000,XC-7,L1,Kraushaar GbR,2021-06-20,599,2023,Johnfort,YB-9376-29869,Teixeira,1
FA,17,17468.30000,APU-20,L4,Hövel Jopich KG,"09/20/2016, 00:00:00",600,2020,Lourosa,XA-4707-80420,Pinho Lopes Lda.,L
FA,34,9476.50000,APU-20,L6,Hövel Jopich KG,2024/05/31,601,2022,Lourosa,PX-1793-05500,Zobel,1
FA,53,4495.10000,APU-15,L4,Macedo Faria e Filhos,"08/24/2018, 00:00:00",602,2023,Póvoa de Santa Iria,PO-9271-21887,Mangold GbR,2
FD,60,14279.30000,APU-20,L1,Kraushaar GbR,"03/04/2024, 00:00:00",603,2020,Klötze,KE-5781-75498,James PLC,normal
FE,32,4787.50000,APU-20,L6,Kraushaar GbR,"05/22/2016, 00:00:00",604,2023,South Sabrina,JI-6828-81707,Zobel, 1 
FA,75,19910.70000,APU-20,L5,Pinho Lopes Lda.,2017/09/02,605,2019,Johnnymouth,XY-8317-57447,"Barker, Henson and Neal",N
FA,118,2681.40000,APU-20,L6,Faria,19 May 2019,606,2024,Regen,PM-9837-54173,Hofmann Bender GmbH,3
FA,53,15777.70000,XC-7,L6,Ribeiro,"03/21/2015, 00:00:00",607,2020,Fiães,KY-8996-17475,Huhn KGaA,2
FD,97,19773.70000,XC-7,L1,Gutknecht Stiftung & Co. KG,2021-10-28,608,2019,Nürtingen,CK-6657-11103,Walker Ltd,N
FB,67,7784.20000,APU-15,L2,"Gibbs, Scott and Moore","02/20/2018, 00:00:00",609,2022,Guimarães,PB-3955-66257,Huhn KGaA,2
FC,45,42995.90000,APU-12,L4,"Henson, Walker and Pruitt","04/13/2015, 00:00:00",610,2012,Barbarachester,WU-0265-01104,"Hernandez, Malone and Smith",N
FD,6,9640.40000,APU-15,L1,Christoph GmbH,16 Jul 2016,611,2022,Leeberg,BW-3099-95332,Hofmann Bender GmbH,light
FC,22,40287.00000,APU-20,L6,Zobel,"05/26/2018, 00:00:00",612,2013,Barbarachester,MF-5779-06764,Reinhardt,L
FD,34,15779.90000,XC-7,L6,Gutknecht Stiftung & Co. KG,"03/14/2022, 00:00:00",613,2020,Vila Real,NK-5978-72192,Kraushaar GbR,1
FE,88,23873.90000,APU-20,L2,Roy and Sons,2021/01/30,614,2018,Naila,HF-5528-90813,Gutknecht Stiftung & Co. KG,H
FC,29,5298.10000,APU-20,L4,Johnson-Garrett,"06/08/2022, 00:00:00",615,2023,Port Alanside,MY-0654-78343,Pinho Lopes Lda.,light
FC,93,6949.70000,APU-15,L6,Stroh,2020-12-22,616,2023,Lourosa,CE-0358-55605,"Barker, Henson and Neal",H
FB,26,22450.50000,APU-12,L2,Johnson-Garrett,"09/06/2023, 00:00:00",617,2018,Sacavém,QX-8299-13919,"Henson, Walker and Pruitt", 1 
FD,15,8705.90000,XC-7,L3,Silva,05 Dec 2021,618,2022,Trancoso,ET-9262-06549,Pinho Lopes Lda.,normal
FC,93,5587.10000,APU-12,L1,Allen-Ferguson,"04/30/2023, 00:00:00",619,2023,Nürtingen,CZ-6695-02571,Mangold GbR,1
FA,117,11107.30000,APU-20,L3,Trevino-Turner,"12/05/2019, 00:00:00",620,2021,Barbarachester,CH-8555-03819,"Carter, Kim and Allen",2
FD,0,13260.10000,APU-12,L2,Mitschke,26 Oct 2017,621,2021,Bad Freienwalde,II-0587-31221,Huhn KGaA,light
FB,97,14636.40000,XC-7,L2,Heinrich,2024/02/13,622,2020,Johnfort,QW-6609-45066,"Hernandez, Malone and Smith",1
FC,23,8820.20000,APU-15,L4,Rogner KG,2019/04/16,623,2022,West Nicolechester,WE-1344-93700,"Carter, Kim and Allen",L
FA,111,40763.00000,APU-20,L4,"Hernandez, Malone and Smith",27 Feb 2024,624,2013,Lake Amy,LO-6437-04362,Hermighausen Weinhold AG & Co. KG,H
FB,62,17728.00000,APU-15,L5,Zobel,2017-04-07,625,2019,Barbarachester,JP-6919-99436,Huhn KGaA,normal
FA,76,19006.70000,XC-7,L3,Silva,2016-07-06,626,2019,Schleiz,QR-5552-79082,Stroh,N
FB,36,35801.70000,APU-12,L4,Hofmann Bender GmbH,29 May 2023,627,2014,Quarteira,PE-4987-26123,Kraushaar GbR,1
FA,109,4050.40000,APU-15,L2,Walker Ltd,2023-12-14,628,2023,East Joshuabury,KK-8976-96618,Stroh,L
FC,91,4403.70000,APU-12,L3,Pinho Lopes Lda.,"12/08/2018, 00:00:00",629,2023,Cartaxo,FJ-8077-32648,Silva,light
FA,118,8157.20000,XC-7,L1,Teixeira,2017-09-08,630,2022,São Salvador de Lordelo,NB-5527-35714,"Henson, Walker and Pruitt",3
FD,82,7793.00000,APU-20,L4,Silva,29 Mar 2020,631,2022,Nordhausen,SB-8171-02026,Faria,3
FA,99,10716.20000,APU-15,L2,"Rivers, Welch and Hood",25 Feb 2020,632,2021,Bruchsal,MO-2504-76333,Pinto Gaspar S.A.,3
FB,46,12567.60000,APU-20,L4,Gutknecht Stiftung & Co. KG,06 Apr 2015,633,2021,Ochsenfurt,NL-2213-31791,Mangold GbR,normal
FD,50,29389.30000,APU-15,L6,Hermighausen Weinhold AG & Co. KG,12 Nov 2024,634,2016,Klötze,YC-8061-69924,"Henson, Walker and Pruitt",heavy
FA,83,11547.20000,APU-20,L2,Christoph GmbH,2020/01/21,635,2021,Quarteira,RF-8936-64284,Silva,heavy
FE,23,12654.40000,APU-12,L4,Macedo Faria e Filhos,2019/01/30,636,2021,Harrisbury,MQ-6805-62804,"Moore, Kennedy and Berger",light
FA,118,5519.90000,APU-20,L4,Leal Freitas S/A,2017-07-29,637,2023,Harrisbury,QI-0989-92034,"Becker, Sanchez and Crawford",heavy
FB,27,,APU-15,L2,Mitschke,22 Nov 2020,638,2021,Ochsenfurt,UL-0653-74493,Hermighausen Weinhold AG & Co. KG,light
FD,100,5712.70000,APU-15,L1,Pinho Lopes Lda.,2024-03-24,639,2023,Lake Amy,AS-7180-06198,Macedo Faria e Filhos,H
FB,4,9596.20000,APU-12,L6,"Henson, Walker and Pruitt",17 Mar 2023,640,2022,Angelashire,AK-1370-74829,Christoph GmbH, L 
FC,74,3731.30000,APU-20,L4,Pinho Lopes Lda.,2018/11/08,641,2023,Bruchsal,WQ-1870-86155,Amorim,med
FB,99,27248.10000,APU-12,L4,"Rivers, Welch and Hood","04/04/2017, 00:00:00",642,2017,Fiães,HV-9289-85838,Mitschke,N
FC,70,4371.30000,XC-7,L2,Hofmann Bender GmbH,"07/01/2020, 00:00:00",643,2023,New Danielshire,QK-2241-08125,Kraushaar GbR,med
FC,42,6144.20000,APU-12,L5,"Barker, Henson and Neal",30 May 2023,644,2023,Johnfort,RF-0575-78119,James PLC,med
FE,101,36323.30000,APU-15,L4,Silva,"07/21/2017, 00:00:00",645,2014,West Andrewborough,RU-2122-47114,Johnson-Garrett,3
FC,3,23849.00000,APU-15,L2,"Henson, Walker and Pruitt","02/18/2021, 00:00:00",646,2018,Nordhausen,JT-5573-22988,Silva, light 
FD,40,14355.90000,APU-12,L2,Macedo Faria e Filhos,2018-08-29,647,2020,Zerbst,KN-7875-39365,Walker Ltd,N
FE,14,24437.00000,XC-7,L3,Leal Freitas S/A,2023/06/09,648,2018,Caldas da Rainha,PY-3063-05818,Macedo Faria e Filhos,light
FC,11,7492.70000,APU-15,L6,Johnson-Garrett,2019/11/16,649,2022,Ochsenfurt,CL-2518-39740,Kraushaar GbR,1
FC,20,10798.10000,APU-20,L5,Mitschke,30 Sep 2018,650,2021,Hensleyville,OL-6272-44301,Allen-Ferguson,L
FD,33,6986.30000,APU-15,L2,Gutknecht Stiftung & Co. KG,"04/29/2019, 00:00:00",651,2023,Klötze,DM-8771-05350,Schenk GmbH,light
FE,17,8759.50000,APU-12,L1,Silva,2022/12/22,652,2022,Torres Novas,RI-0506-55379,Schenk GmbH,1
FD,69,8206.80000,APU-12,L2,Rädel Löwer AG,"11/20/2019, 00:00:00",653,2022,Tondela,BQ-8800-85608,Mitschke,N
FA,80,18802.50000,XC-7,L3,Trapp Langern OHG mbH,2021-10-08,654,2019,Christinehaven,YO-4267-56293,Hermighausen Weinhold AG & Co. KG,N
